"symbol","date","open","high","low","close","volume","adjusted"
"ADBE",2000-01-27,15.203125,16,15.203125,15.671875,5864400,15.5610084533691
"ADBE",2000-01-28,15.296875,15.46875,14.15625,14.390625,5712000,14.2888202667236
"ADBE",2000-01-31,14.28125,14.53125,13.359375,13.765625,16459200,13.6682443618774
"ADBE",2000-02-01,13.96875,14.21875,13.78125,13.96875,6765600,13.8699283599854
"ADBE",2000-02-02,13.984375,15.40625,13.90625,15.328125,13409600,15.2196893692017
"ADBE",2000-02-03,15.953125,17.28125,15.84375,17.265625,19747200,17.1434783935547
"ADBE",2000-02-04,17.1796875,18.625,16.75,18.5,13516800,18.3691272735596
"ADBE",2000-02-07,18.4375,19.359375,18.0625,19.265625,12919200,19.1293354034424
"ADBE",2000-02-08,19.390625,21,19.1875,20.9375,14297200,20.7893810272217
"ADBE",2000-02-09,20.96875,21.9375,20.71875,21.890625,15321600,21.7357597351074
"ADBE",2000-02-10,21.640625,22.8125,21.0625,22.8125,13175600,22.6511192321777
"ADBE",2000-02-11,22.5,22.8125,21.71875,22.609375,7216800,22.4494285583496
"ADBE",2000-02-14,22.03125,22.5,21.265625,22.40625,6994800,22.2477397918701
"ADBE",2000-02-15,22.1015625,23,21.5625,22.21875,7082400,22.0615615844727
"ADBE",2000-02-16,22,24.6875,21.875,24.546875,10723600,24.3732242584229
"ADBE",2000-02-17,24.75,25.53125,24.03125,25.390625,10482400,25.2110061645508
"ADBE",2000-02-18,25.65625,25.671875,24.25,24.5625,6311200,24.3887329101562
"ADBE",2000-02-22,24.453125,24.90625,22.609375,24.5703125,7825600,24.3964920043945
"ADBE",2000-02-23,24.375,26.25,23.859375,24.90625,7614800,24.7300491333008
"ADBE",2000-02-24,25.28125,26.65625,24.25,26.59375,6901200,26.4056186676025
"ADBE",2000-02-25,25.875,26.109375,24.5,24.625,4176000,24.4507961273193
"ADBE",2000-02-28,24.3828125,24.90625,23.75,24.453125,6549600,24.2801322937012
"ADBE",2000-02-29,25,25.75,24.78125,25.5,6718800,25.3196029663086
"ADBE",2000-03-01,25.5546875,25.5625,24.6875,25.09375,5105200,24.9162254333496
"ADBE",2000-03-02,24.0625,24.0625,20,20.15625,24963600,20.0136566162109
"ADBE",2000-03-03,21.046875,22.93359375,20.6328125,22.65625,18611200,22.4959659576416
"ADBE",2000-03-06,22.3125,22.40625,21,21.453125,6946400,21.3013591766357
"ADBE",2000-03-07,21.953125,21.96875,20.140625,20.296875,6066400,20.1532859802246
"ADBE",2000-03-08,20.390625,20.40625,19.625,19.765625,8405600,19.6257991790771
"ADBE",2000-03-09,19.90625,20.34375,19.25,19.53125,10022000,19.3930778503418
"ADBE",2000-03-10,19.875,21.421875,19.859375,20.8125,15000800,20.6652679443359
"ADBE",2000-03-13,20.1875,21.15625,20.125,20.53125,6446400,20.3860015869141
"ADBE",2000-03-14,21.875,22.21875,20,20.359375,12852800,20.2153453826904
"ADBE",2000-03-15,20.75,21.609375,20,20.890625,9849600,20.7428398132324
"ADBE",2000-03-16,21.140625,23.6875,19.5,23.609375,22378000,23.4423580169678
"ADBE",2000-03-17,22.25,22.84375,21.484375,21.921875,18887600,21.7667922973633
